gvkey,fyear,NDA,NDA_sd
001004,1999,0.021211334589158148,0.010263153007572778
001004,2000,-0.06211006297619368,0.012277197387178123
001004,2001,-0.03298893532229627,0.016649044689056675
001004,2002,-0.05575943377931592,0.013716109073467524
001004,2003,-0.02122664688986367,0.009846298464316092
001004,2004,-0.0269567072338902,0.010186001993163604
001004,2005,0.04954115643446365,0.015625411460476486
001004,2006,0.011460321207738933,0.009287746300965852
001004,2007,0.019718392037953975,0.01230696851021116
001004,2008,-0.02585808950101281,0.009212440226241235
001004,2009,-0.05760027167345946,0.011294278730554195
001004,2010,0.015626088861234358,0.012117943057401385
001004,2011,0.0012991965572756962,0.00833838119318547
001004,2012,-0.028588032813207688,0.0074229079433127485
001004,2013,-0.0356975148068591,0.007927732239209121
001004,2014,-0.021168309067151576,0.012734914766999509
001004,2015,-0.032385360235984394,0.009332753818713659
001013,1999,-0.06113478084080165,0.018526098198554768
001013,2001,-0.16705578381284703,0.011558089231529553
001013,2002,-0.2966007352786027,0.01812678179591025
001013,2003,-0.1988922991518882,0.012592783651731216
001013,2004,-0.10448690834151933,0.013515731833746762
001013,2005,-0.04206011104502994,0.015234921388086343
001013,2006,-0.06038671603662882,0.010035724849924682
001013,2007,-0.09621427496143045,0.009609684483606943
001013,2008,-0.08884505391832322,0.008712289265977505
001013,2009,-0.17771261884600606,0.011939803374592087
001019,1999,-0.07192378182766333,0.017711352429781148
001019,2000,-0.08896791570110653,0.016608659539583296
001021,1999,-0.15208292079905417,0.015493365489114634
001021,2000,-0.15713241784794915,0.01872034537363686
001021,2001,-0.16891198680913957,0.016122966192691577
001021,2007,-0.1596816614453693,0.022637784929617412
001034,1999,-0.052173597765229875,0.011060449794864912
001034,2000,-0.028415189924111586,0.013020414654270776
001034,2001,-0.07279252121747194,0.011176976879705902
001034,2002,-0.07192102826354294,0.012655784537077618
001034,2003,-0.07975427557379182,0.010576853565540752
001034,2004,-0.09441105870600845,0.013445606829633966
001034,2005,-0.11462539208699628,0.022003463132262552
001034,2006,-0.03440199405004949,0.01879474342553845
001036,1999,-0.0550066469881932,0.014373319736830866
001038,1999,-0.12061000065392559,0.013838432078530253
001038,2000,-0.10691147450066842,0.015319849709038262
001038,2001,-0.1277730473214758,0.014485569443383865
001038,2002,-0.10729442030390275,0.018158217075620084
001045,1999,-0.05842402431790031,0.011932089889245398
001045,2000,-0.06994302180834899,0.01082365980483208
001045,2001,-0.06633309339213699,0.0116225034910665
001045,2002,-0.06802555833345371,0.01146352406278176
001045,2003,-0.07750763767723873,0.01039222605996791
001045,2004,-0.06841922135146931,0.008907144093461387
001045,2005,-0.068194669275054,0.008864263711923177
001045,2006,-0.06753416775926882,0.008536310053791829
001045,2007,-0.0658109955930704,0.008051446077589359
001045,2008,-0.04798347933228986,0.012796159679187147
001045,2009,-0.0905969846190733,0.01539920721491515
001045,2010,-0.06328959131837197,0.008577001268429219
001045,2011,-0.06215040776857103,0.008983267550157251
001045,2014,-0.05237914407499702,0.017410148030855187
001045,2015,-0.07585160756276803,0.011802693429061878
001045,2016,-0.0609730893836724,0.013050018816952476
001050,2001,-0.0732577532724124,0.00755625350867675
001050,2002,-0.0759325050455739,0.00951891706560831
001050,2003,-0.07034272950965745,0.011654127581844111
001050,2004,-0.06581002196656838,0.010449589249869705
001050,2005,-0.028399669128418112,0.012330278911056878
001050,2006,0.11939905320970425,0.022542670963858102
001050,2008,-0.08417070898518907,0.009271834093855905
001050,2009,-0.16444670382443716,0.014764712560935023
001050,2010,-0.01734224280473406,0.015522840490346688
001050,2011,-0.0797631366546178,0.011249070670308465
001050,2012,-0.1063531376659804,0.012800879225052148
001050,2014,-0.024137599449771754,0.012400573119459416
001050,2015,-0.040331543723682764,0.011848590803054133
001050,2016,-0.086033868994652,0.013548206449858451
001056,1999,-0.029393175388339278,0.01132955552602106
001056,2000,-0.040335093450196084,0.009995686486762575
001056,2001,-0.06498308680867441,0.01583692265353818
001056,2002,-0.06413644720921187,0.01773361020126062
001056,2003,-0.028014847122609376,0.01463702912593777
001056,2004,-0.026911770775492373,0.015910170704231584
001056,2005,-0.048477459090089436,0.012106905537909192
001072,2001,-0.12017632611909092,0.023083099827066567
001072,2002,-0.04165463705172502,0.011062448768995033
001072,2003,-0.05348358953306421,0.01229154605854447
001072,2004,-0.030694216019417804,0.013180306284531188
001072,2005,-0.0571022968027165,0.012624813143223942
001072,2006,-0.03965394002674339,0.010176441955733275
001072,2007,-0.024484949333904483,0.00926853872202207
001072,2008,-0.03544881179089489,0.008824447140644296
001072,2009,-0.06042984259358882,0.010300743602082042
001072,2010,0.007229474927216762,0.012874367764581203
001072,2011,-0.02841228848149934,0.009262870420762338
001072,2012,-0.04709616835749423,0.008441410625421654
001072,2013,-0.005305549517882491,0.014065962061674783
001072,2014,-0.05401030131327995,0.013341133945386122
001072,2015,-0.03366720958714594,0.009888104072221562
001075,1999,-0.048379100549387925,0.008386502581610696
001075,2000,-0.04422058923734634,0.010771517750983041
001075,2001,-0.036303679557821815,0.010499807879929067
001075,2002,-0.0776377498674606,0.016708084775045977
001075,2003,-0.05490789287319527,0.007724560121716911
001075,2004,-0.051622661464021995,0.00710548966443874
001075,2005,-0.04949263789644992,0.007529427828888606
001075,2006,-0.0399350689525725,0.009265297936564937
001075,2007,-0.05762927791487151,0.007624066364483638
001075,2008,-0.05722339672895322,0.006420329930496456
001075,2009,-0.06378292871265416,0.007896982684926966
001075,2010,-0.047965370683188,0.007287036950893322
001075,2011,-0.06348811358928559,0.006457266150725669
001075,2012,-0.05357609474889633,0.006578159910654305
001075,2013,-0.050437848100653555,0.007026860941508323
001075,2014,-0.049249859364641727,0.007427323841718005
